id,nombre,centroide_lon,centroide_lat,categoria,fuente,municipio_id,departamento_id
50091040,LA CONSULTA,-69.128125564969,-33.7386757381913,Localidad simple,INDEC,500091.0,50091.0
50091060,SAN CARLOS,-69.0490909178745,-33.7744494556708,Localidad simple,INDEC,500091.0,50091.0
50098045,BARRIO LA ESTACION,-68.3543621643557,-33.155290161095,Localidad simple,INDEC,500035.0,50098.0
50098060,CHAPANAY,-68.4765253845307,-32.9801177295667,Localidad simple,INDEC,500098.0,50098.0
50098100,SAN MARTIN,-68.4809496647904,-33.0857149342167,Componente de localidad compuesta,INDEC,500098.0,50098.0
50098110,TRES PORTENAS,-68.3990962886724,-32.8994801779561,Localidad simple,INDEC,500098.0,50098.0
50105020,BARRIO EL NEVADO,-67.9874651693673,-34.7898637210549,Localidad simple,INDEC,500105.0,50105.0
50105040,BARRIO INTENDENCIA,-68.2754543992411,-34.645100562517,Localidad simple,INDEC,500105.0,50105.0
50105080,EL SOSNEADO,-69.5924127887533,-35.0821772227253,Localidad simple,INDEC,500105.0,50105.0
50105150,MONTE COMAN,-67.8842899055404,-34.5971809945468,Localidad simple,INDEC,500105.0,50105.0
50105160,POBRE DIABLO,-68.3591845637218,-34.6703587937035,Localidad simple,INDEC,500105.0,50105.0
50105210,SAN RAFAEL,-68.3342857455338,-34.6138799163454,Localidad simple,INDEC,500105.0,50105.0
50112010,BARRIO 12 DE OCTUBRE,-68.2809624398751,-33.1912015360595,Localidad simple,INDEC,500112.0,50112.0
50112020,BARRIO MARIA AUXILIADORA,-68.1826758332982,-33.2425136237648,Localidad simple,INDEC,500112.0,50112.0
50112030,BARRIO MOLINA CABRERA,-68.2037878560507,-33.1297119555186,Localidad simple,INDEC,500112.0,50112.0
50112040,LA DORMIDA,-67.9160460628593,-33.3499243562079,Localidad simple,INDEC,500112.0,50112.0
50112050,LAS CATITAS,-68.0532182373692,-33.3001058785583,Localidad simple,INDEC,500112.0,50112.0
50119030,COLONIA LAS ROSAS,-69.1126485401012,-33.6129364669521,Localidad simple,INDEC,500119.0,50119.0
50119040,EL MANZANO,-69.3350878551814,-33.6005741925646,Localidad simple,INDEC,500119.0,50119.0
50119050,LOS SAUCES,-69.1840214848841,-33.5952101670008,Localidad simple,INDEC,500119.0,50119.0
50126010,BARRIO BELGRANO NORTE,-69.1359513617454,-33.3301032817585,Localidad simple,INDEC,500126.0,50126.0
50126020,CORDON DEL PLATA,-69.1399451802858,-33.4689491349532,Localidad simple,INDEC,500126.0,50126.0
50126030,EL PERAL,-69.1923487111206,-33.3706550679362,Localidad simple,INDEC,500126.0,50126.0
50126035,EL ZAMPAL,-69.1057367245591,-33.3989500475535,Localidad simple,INDEC,500126.0,50126.0
50126040,LA ARBOLEDA,-69.1247363670469,-33.3688267818118,Localidad simple,INDEC,500126.0,50126.0
50126050,SAN JOSE,-69.1645780862147,-33.3068450101282,Localidad simple,INDEC,500126.0,50126.0
