,id,nombre,departamento_id
420,142896.0,LA POBLACION,14133.0
421,142924.0,LUYABA,14133.0
422,142903.0,LAS TAPIAS,14133.0
423,142910.0,LOS CERRILLOS,14133.0
424,141148.0,VILLA DE LAS ROSAS,14133.0
425,141134.0,SAN JAVIER Y YACANTO,14133.0
426,141155.0,VILLA DOLORES,14133.0
427,141162.0,ALICIA,14140.0
428,141169.0,ALTOS DE CHIPION,14140.0
429,141176.0,ARROYITO,14140.0
430,141183.0,BALNEARIA,14140.0
431,141190.0,BRINKMANN,14140.0
432,141197.0,COLONIA MARINA,14140.0
433,141204.0,COLONIA PROSPERIDAD,14140.0
434,141211.0,COLONIA SAN BARTOLOME,14140.0
435,142952.0,COLONIA SAN PEDRO,14140.0
436,142959.0,COLONIA VALTELINA,14140.0
437,141218.0,COLONIA VIGNAUD,14140.0
438,141225.0,DEVOTO,14140.0
439,141232.0,EL ARANADO,14140.0
440,141239.0,EL FORTIN,14140.0
441,141246.0,EL TIO,14140.0
442,142966.0,PLAZA LUXARDO,14140.0
443,142938.0,COLONIA ITURRASPE,14140.0
444,141253.0,FREYRE,14140.0
445,141260.0,LA FRANCIA,14140.0
446,141267.0,LA PAQUITA,14140.0
447,141281.0,LAS VARAS,14140.0
448,141288.0,LAS VARILLAS,14140.0
449,141295.0,MARULL,14140.0
450,141302.0,MIRAMAR,14140.0
451,141337.0,SAN FRANCISCO,14140.0
452,141316.0,PORTENA,14140.0
453,141323.0,QUEBRACHO HERRADO,14140.0
454,141330.0,SACANTA,14140.0
455,141344.0,SATURNINO MARIA LASPIUR,14140.0
456,141351.0,SEEBER,14140.0
457,141358.0,TRANSITO,14140.0
458,141365.0,VILLA CONCEPCION DEL TIO,14140.0
459,142980.0,VILLA SAN ESTEBAN,14140.0
460,142987.0,ANISACATE,14147.0
461,141393.0,MALAGUENO,14147.0
462,142994.0,BOUWER,14147.0
463,143106.0,VILLA PARQUE SANTA ANA,14147.0
464,141379.0,DESPENADEROS,14147.0
465,143001.0,DIQUE CHICO,14147.0
466,143008.0,FALDA DEL CARMEN,14147.0
467,143113.0,VILLA SAN ISIDRO,14147.0
468,143022.0,LA PAISANITA,14147.0
469,143036.0,LA SERRANITA,14147.0
470,143043.0,LOS CEDROS,14147.0
471,141386.0,LOZADA,14147.0
472,141400.0,MONTE RALO,14147.0
473,143050.0,POTRERO DE GARAY,14147.0
474,143057.0,RAFAEL GARCIA,14147.0
475,143064.0,SAN CLEMENTE,14147.0
476,141407.0,TOLEDO,14147.0
477,143071.0,VALLE DE ANISACATE,14147.0
478,143078.0,VILLA CIUDAD DE AMERICA,14147.0
479,143085.0,VILLA DEL PRADO,14147.0
480,143092.0,VILLA LA BOLSA,14147.0
481,143099.0,VILLA LOS AROMOS,14147.0
482,143120.0,CAMINIAGA,14154.0
483,143134.0,POZO NUEVO,14154.0
484,141414.0,SAN FRANCISCO DEL CHANAR,14154.0
485,141421.0,ALMAFUERTE,14161.0
486,141428.0,COLONIA ALMADA,14161.0
487,141435.0,CORRALITO,14161.0
488,143141.0,GENERAL FOTHERINGHAM,14161.0
489,141449.0,HERNANDO,14161.0
490,141456.0,JAMES CRAIK,14161.0
491,143148.0,LAS ISLETILLAS,14161.0
492,141463.0,LAS PERDICES,14161.0
