,operador_id,producto
2310,1101,HARINA DE SOJA
2311,1101,TRIGO
2312,1101,GARBANZO
2313,1101,SOJA
2314,1101,GIRASOL
2315,1101,HARINA DE SOJA
2316,1101,COLZA
2317,1101,ACEITE DE COLZA
2318,1101,MAIZ
2319,1101,CARTAMO
2320,1101,CEBADA
2321,1101,MIJO
2322,1102,MIEL
2323,1103,GIRASOL
2324,1103,LINO
2325,1103,MAIZ
2326,1103,MAIZ PISINGALLO
2327,1103,SOJA
2328,1103,TRIGO
2329,1103,GARBANZO
2330,1104,CHIA (SALVIA HISPANICA L.)
2331,1105,LANA LAVADA
2332,1105,LANA SUCIA
2333,1105,TOPS DE LANA
2334,1106,ACEITE DE JOJOBA
2335,1107,CEREALES
2336,1107,OLEAGINOSAS
2337,1107,OTROS PRODUCTOS ORGANICOS.
2338,1108,PULPA CONCENTRADA DE CIRUELA
2339,1108,PURE DE PERA CONCENTRADO
2340,1108,PURE DE DAMASCO CONCENTRADO
2341,1108,PURE DE DAMASCO
2342,1108,ZAPALLO
2343,1108,PULPA DE DAMASCO
2344,1108,ZANAHORIA
2345,1108,PULPA CONCENTRADA DE DURAZNO
2346,1108,PURE DE ZANAHORIA
2347,1108,PURE DE DURAZNO
2348,1108,PULPA DE MANZANA
2349,1108,PULPA DE ZANAHORIA
2350,1108,PULPA DE ZAPALLO
2351,1108,MANZANA
2352,1108,PULPA CONCENTRADA DE DAMASCO
2353,1108,PURE DE MANZANA CONCENTRADO
2354,1108,DURAZNO
2355,1108,PULPA DE DURAZNO
2356,1108,PERA
2357,1108,PURE DE PERA
2358,1108,PURE DE DURAZNO CONCENTRADO
2359,1108,CIRUELA
2360,1108,PULPA DE PERA
2361,1108,BATATA
2362,1108,DAMASCO
2363,1108,PURE DE ZAPALLO
2364,1108,PURE DE BATATA
2365,1108,PULPA CONCENTRADA DE PERA
2366,1108,PULPA DE CIRUELA
2367,1108,PULPA CONCENTRADA DE MANZANA
2368,1108,PURE DE MANZANA
2369,1109,ACEITE DE JOJOBA
2370,1110,ARROZ
2371,1111,GRANOS
2372,1112,GIRASOL
2373,1112,SOJA
2374,1112,MAIZ
2375,1113,MIEL.
2376,1114,MIEL.
2377,1115,ARANDANO
2378,1115,MANZANA
2379,1115,PERA
2380,1115,CEREZA
2381,1115,ACEITE DE OLIVA
2382,1115,ACEITUNAS
2383,1115,CIRUELA
2384,1116,CHIA (SALVIA HISPANICA L.)
2385,1117,CHIA
2386,1118,CHOCOLATE
2387,1119,PERA
2388,1119,MANZANA
2389,1120,GIRASOL
2390,1120,ACEITE DE COLZA CANOLA
2391,1120,ARROZ
2392,1120,VINO
