razon_social,establecimiento,localidad_id,clae2,certificadora_id,categoria_id,rubro
CASSAB AHUN S.R.L,CASSAB AHUN S.R.L 1,70098010,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
CONEXPORT S.A. (CONSORCIO EXPORTADOR),CONEXPORT S.A. (CONSORCIO EXPORTADOR) 1,70098010,11,1,2,ELABORACION DE MOSTO CONCENTRADO DE UVA
VIï¿½AS ARGENTINAS SA,VIï¿½AS ARGENTINAS SA 1,70098010,11,1,2,ELABORACION DE JUGO CONCENTRADO
VIï¿½A MONTPELLIER S.A.,VIï¿½A MONTPELLIER S.A. 1,70098010,11,1,2,ELABORACION DE MOSTO CONCENTRADO
CITROMAX SACI,CITROMAX SACI 1,70098010,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
HEGUILOR GUILLERMO JULIO ,AGUACLARA,74007070,1,3,1,HORTICULTURA
HEGUILOR GUILLERMO JULIO,HEGUILOR GUILLERMO JULIO 1,74007070,10,3,2,SECADO - DESPALILLADO - EMBOLSADO
EL ROBLE EMPRENDIMIENTOS S.A.,CASA GRANDE,74014040,1,3,1,AGRICULTURA
EL ROBLE EMPRENDIMIENTOS S.A.,EL ROBLE,74014040,1,3,1,AGRICULTURA
GORDON MARY ANN MARGARET,GORDON,78014050,1,2,1,GANADERIA
CIMADEVILLA ALEJANDRO,EL MOSCOSO,78014080,1,2,1,GANADERIA
DON TIBURCIO S.H.,LA RUFINA Y SECCION LA PAVA,78014080,1,2,1,GANADERIA
TIRACHINI ALEJANDRO HECTOR,LA CHAIRA-LA JUANITA-LA PORTEï¿½A,78014080,1,2,1,GANADERIA
RIBAYA EDUARDO SANTIAGO,LA BUENOS AIRES - SEC. LOS ALAMOS Y DOS HNOS.,78014080,1,2,1,GANADERIA
DICIEMBRE S.R.L.,LA CARLOTA,78021040,1,2,1,GANADERIA
ESTANCIAS SARA BRAUN S.A.,SOFIA - BELLA VISTA- SAN ANTONIO,78021040,1,2,1,GANADERIA
HIERBAS PATAGONICAS SRL,LA ASCENSION,78035010,1,2,1,FRUTICULTURA
COMPAï¿½IA DE TIERRAS SUD ARGENTINO SA,ESTANCIA CORONEL,78042010,1,1,1,GANADERIA
LA QUIMERA S.A.,"LA QUIMERA, COLONIA 6",78049020,1,2,1,AGRICULTURA
KUMAGRO S.A.,LA CATALINA,82014050,1,2,1,AGRICULTURA
LA VOLUNTAD S.A.,LA VOLUNTAD S.A. 1,82014100,10,2,2,PROCESAMIENTO CEREALES Y OLEAGINOSAS
V. Y V. S.A.,LAS BRISAS,82063100,1,3,1,HORTICULTURA
V. Y V. S.A.,V. Y V. S.A. 1,82063100,10,3,2,"ELABORACION, FRACCIONAMIENTO, ALMACENAMIENTO, CONGELADO"
V Y V ALIMENTOS S.A.,V Y V ALIMENTOS S.A. 1,82063170,10,3,2,"ELABORACION, FRACCIONAMIENTO, ALMACENAMIENTO, CONGELADO"
FINCA DEL PARANA DE INGENIERO PIERINO CAMPETELLI,FINCA DEL PARANA ,82084130,1,3,1,FRUTICULTURA
FINCA DEL PARANA DE PIERINO CAMPETELLI,FINCA DEL PARANA DE PIERINO CAMPETELLI 1,82084130,10,3,2,ELABORACION DE DULCES Y FRUTAS EN ALMIBAR
LOPEZ GRACIELA M. ,DULCES DEL JARDIN,82084140,1,3,1,FRUTICULTURA/HORTICULTURA
LOPEZ GRACIELA M.,LOPEZ GRACIELA M. 1,82084140,10,3,2,ELABORACION DE DULCES
URIEN LOZA S.A.,URIEN LOZA S.A. 1,82084270,10,2,2,INDUSTRIA CARNICA
TRADING SUR S.A.,TRADING SUR S.A. 1,82084270,45,3,3,
MARIO A. WINGEYER,ISLA EL PALMAR,82098050,1,3,1,APICULTURA
